Designator,Mid X,Mid Y,Rotation,Layer
C1,150.62,-102.95,180.0,top
C2,109.41,-102.97,0.0,top
C3,116.7,-64.795,0.0,top
C4,116.72,-62.6,0.0,top
C5,116.72,-60.49,0.0,top
D10,126.020004,-84.0,270.0,top
D11,123.473338,-84.0,270.0,top
D12,120.926672,-84.0,270.0,top
D13,118.380006,-84.0,270.0,top
D14,115.83334,-84.0,270.0,top
D15,113.286674,-84.0,270.0,top
D16,110.739998,-84.0,270.0,top
D17,148.939998,-84.0,270.0,top
D18,146.393332,-84.0,270.0,top
D2,147.38,-67.5,270.0,top
D3,143.846666,-84.0,270.0,top
D4,141.3,-84.0,270.0,top
D5,138.753334,-84.0,270.0,top
D6,136.206668,-84.0,270.0,top
D7,133.660002,-84.0,270.0,top
D8,131.113336,-84.0,270.0,top
D9,128.56667,-84.0,270.0,top
J1,130.03,-54.96,90.0,top
J10,117.53,-55.075,180.0,top
J4,146.13,-57.32,180.0,top
J5,119.13,-116.02,0.0,top
J6,140.87,-116.02,0.0,top
J7,129.83,-89.68,90.0,top
J8,129.855,-92.24,270.0,top
J9,129.855,-94.78,270.0,top
Q1,155.83,-63.36,90.0,top
R1,107.9,-60.44,0.0,top
R10,143.904902,-75.1,90.0,top
R11,141.348756,-75.1,90.0,top
R12,138.79261,-75.1,90.0,top
R13,136.236464,-75.1,90.0,top
R14,133.680318,-75.1,90.0,top
R15,131.124172,-75.1,90.0,top
R16,128.568026,-75.1,90.0,top
R17,126.01188,-75.1,90.0,top
R18,123.455734,-75.1,90.0,top
R19,120.899588,-75.1,90.0,top
R2,116.64,-66.96,0.0,top
R20,118.343442,-75.1,90.0,top
R21,115.787296,-75.1,90.0,top
R22,113.23115,-75.1,90.0,top
R23,110.675,-75.1,90.0,top
R24,149.017194,-75.1,90.0,top
R25,146.461048,-75.1,90.0,top
R3,107.9,-62.98,0.0,top
R4,116.7,-69.09,0.0,top
R5,107.9,-65.52,0.0,top
R6,107.9,-68.06,0.0,top
R7,107.9,-70.6,0.0,top
R9,145.28,-67.5,270.0,top
U1,129.7675,-67.045,270.0,top
U2,122.695,-103.67,0.0,top
U3,135.815,-103.47,0.0,top
